Flow_Time*,Flow
14676,0.999080194
14677,0.984302756
14678,1.008788344
14679,1.003422149
14680,1.014852773
14681,1.012072506
14682,1.009707055
14683,1.022915873
14684,1.044237223
14685,1.01518595
14686,1.030474027
14687,1.030225245
14688,1.035322048
14689,1.024452067
14690,1.051089317
14691,1.026410768
14692,1.027786926
14693,1.022222687
14694,1.032800685
14695,1.021605981
14696,1.032969579
14697,1.011851191
14698,1.018323471
14699,1.000453829
14700,1.021238704
14701,1.004320075
14702,1.010479066
14703,1.019936352
14704,1.024210555
14705,1.004692101
14706,1.036012999
14707,1.017165373
14708,1.018712972
14709,1.014261532
14710,1.00596738
14711,1.005891499
14712,1.014273854
14713,0.994248239
14714,1.015380808
14715,0.998169817
14716,1.011325755
14717,1.005101753
14718,1.013196575
14719,0.992524652
14720,1.003394885
14721,0.994363049
14722,0.988210695
14723,0.983616564
14724,1.000141189
14725,0.999086431
14726,1.009353058
14727,1.001605506
14728,1.01888702
14729,1.025357932
14730,1.026424483
14731,1.002297158
14732,1.023213474
14733,1.005520691
14734,1.001919584
14735,1.000060976
14736,0.992576467
14737,0.991551422
14738,0.990820834
14739,0.979994808
14740,1.005421188
14741,1.002480818
14742,1.007023523
14743,0.998400759
14744,1.020264745
14745,0.991129719
14746,1.009867417
14747,0.993009159
14748,0.992892095
14749,0.985056603
14750,0.983169365
14751,0.978301806
14752,0.990997754
14753,0.9750521
14754,0.994702485
14755,1.006300021
14756,1.010956784
14757,1.008292025
14758,1.019304546
14759,0.996628099
14760,1.002737845
14761,1.011668345
14762,1.003032201
14763,0.996534486
14764,1.006504143
14765,0.984412757
14766,1.011860255
14767,0.999722558
14768,1.005809308
14769,1.009609906
14770,1.019786315
14771,1.005721336
14772,1.016885819
14773,0.995050918
14774,1.002342674
14775,1.000091185
14776,1.006085967
14777,1.001517745
14778,1.009139824
14779,1.002241707
14780,1.021411987
14781,1.015531162
14782,1.013275166
14783,1.017316796
14784,1.029277659
14785,1.007756528
14786,1.033101288
14787,1.012206943
14788,1.017435378
14789,1.002238045
14790,1.022900616
14791,1.011165461
14792,1.026490874
14793,1.003035869
14794,1.033975754
14795,1.020749593
14796,1.014692968
14797,1.010163318
14798,1.023439789
14799,1.010723188
14800,1.016931054
14801,1.006895211
14802,1.014904264
14803,1.006523663
14804,1.007150282
14805,0.998539895
14806,1.024206731
14807,1.013866863
14808,1.020965591
14809,1.011452001
14810,1.016827126
14811,1.005348547
14812,1.002065455
14813,0.986223223
14814,1.003683856
14815,1.00004431
14816,1.006257836
14817,0.977952552
14818,0.999129577
14819,1.004674229
14820,1.027239867
14821,1.009855202
14822,1.004806707
14823,1.007369017
14824,1.000103164
14825,1.005968961
14826,1.018586527
14827,1.002519547
14828,1.02281998
14829,1.002845721
14830,1.002704335
14831,0.99807747
14832,1.013053859
14833,0.984651513
14834,1.012168529
14835,0.990988037
14836,0.99829799
14837,0.993917344
14838,1.023470881
